,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9600000,29900000,12,778,2400000,17600000,22700000,8000000,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,4100000,12200000,8,417,2700000,2200000,8800000,3300000,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,9100000,29700000,20,506,7100000,4500000,33300000,12800000,1
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,8200000,30700000,8,467,18200000,3300000,23300000,7900000,1
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,0,1,9800000,24200000,20,382,12400000,8200000,29400000,5000000,1
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,1,4800000,13500000,10,319,6800000,8300000,13700000,5100000,1
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,0,0,8700000,33000000,4,678,22500000,14800000,29200000,4300000,0
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,0,1,5700000,15000000,20,382,13200000,5700000,11800000,6000000,1
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,1,800000,2200000,20,782,1300000,800000,2800000,600000,0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,0,0,1100000,4300000,10,388,3200000,1400000,3300000,1600000,1
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,0,1,2900000,11200000,2,547,8100000,4700000,9500000,3100000,0
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2,0,1,6700000,22700000,18,538,15300000,5800000,20400000,6400000,1
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,3,0,1,5000000,11600000,16,311,6400000,9600000,14600000,4300000,1
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2,0,1,9100000,31500000,14,679,10800000,16600000,20900000,5000000,0
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,1,0,0,1900000,7400000,6,469,1900000,1200000,5900000,1900000,1
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,5,0,0,4700000,10700000,10,794,5700000,3900000,16400000,4400000,0
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,2,0,1,500000,1600000,4,663,1300000,100000,1300000,700000,0
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,4,0,1,2900000,9400000,14,780,2900000,2800000,6700000,4300000,0
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,2,0,0,2700000,10300000,10,736,1000000,0,6200000,3300000,0
